Title,Year,IMDb Rating,Metascore,Votes
Poor Things,2023,8.4,87,
Killers of the Flower Moon,2023,7.7,89,
La sociedad de la nieve,2023,7.9,72,
Oppenheimer,2023,8.4,89,
The Holdovers,2023,8.0,82,
12th Fail,2023,9.2,,
Anatomie d'une chute,2023,7.8,86,
Godzilla -1.0,2023,8.3,80,
Past Lives,2023,7.9,94,
듄,2021,8.0,74,
Once Upon a Time..,2019,7.6,84,
더 배트맨,2022,7.8,72,
탑건: 매버릭,2022,8.3,78,
Spider-Man: Across the Spider-Verse,2023,8.6,86,
인터스텔라,2014,8.7,74,
쇼생크 탈출,1994,9.3,82,
Mission: Impossible - Dead Reckoning Part One,2023,7.7,81,
에브리씽 에브리웨어 올 앳 원스,2022,7.8,81,
Daeboo,1972,9.2,100,
젠틀맨,2019,7.8,51,
John Wick: Chapter 4,2023,7.7,78,
해리포터와 마법사의 돌,2001,7.6,65,
글래디에이터,2000,8.5,67,
더 울프 오브 월 스트리트,2013,8.2,75,
다크 나이트,2008,9.0,84,
반지의 제왕: 반지 원정대,2001,8.9,92,
Gisaengchung,2019,8.5,96,
뻐꾸기 둥지 위로 날아간 새,1975,8.7,84,
펄프 픽션,1994,8.9,95,
더 밴시즈 오브 이니셔린,2022,7.7,87,
인셉션,2010,8.8,74,
파고,1996,8.1,86,
타이타닉,1997,7.9,75,
파이트 클럽,1999,8.8,67,
Guardians of the Galaxy Vol,2023,7.9,64,
매드맥스: 분노의 도로,2015,8.1,90,
스파이더맨: 노 웨이 홈,2021,8.2,71,
히트,1995,8.3,76,
조커,2019,8.4,59,
왓치맨,2009,7.6,56,
위플래쉬,2014,8.5,89,
Gone Girl,2014,8.1,79,
양들의 침묵,1991,8.6,86,
쉰들러 리스트,1993,9.0,95,
세븐,1995,8.6,65,
오만과 편견,2005,7.8,82,
위대한 레보스키,1998,8.1,71,
라라랜드,2016,8.0,94,
Willy Wonka,1971,7.8,67,
포레스트 검프,1994,8.8,82,
굿 윌 헌팅,1997,8.3,71,
Dakeu naiteu raijeu,2012,8.4,78,
Taxi Driver,1976,8.2,94,
Jyuragi gongwon,1993,8.2,68,
셔터 아일랜드,2010,8.2,63,
블레이드 러너 2049,2017,8.0,81,
Mystic River,2003,7.9,84,
프리즈너스,2013,8.1,70,
매트릭스,1999,8.7,73,
레옹,1994,8.5,64,
라이온 킹,1994,8.5,88,
배트맨 비긴즈,2005,8.2,70,
반지의 제왕: 왕의 귀환,2003,9.0,94,
